datetime,temp_C,humidity_%,windspeed_kph,precip_mm,pm10,pm2_5,co,no2,so2,o3,log_co,log_pm2_5,log_pm10,log_precip_mm,log_so2,log_windspeed_kph,log_no2,scaled_temp_C,scaled_humidity_%,scaled_log_windspeed_kph,scaled_log_pm2_5,scaled_log_pm10,scaled_log_precip_mm,scaled_log_co,scaled_log_no2,scaled_log_so2,scaled_o3,aqi_us,aqi_us_lag1,aqi_us_lag24,hour_sin,hour_cos,aqi_us_lag12,hour,day_of_week,is_weekend,log_pm2_5_scaled_log_windspeed_kph,scaled_temp_C_scaled_o3,scaled_temp_C_scaled_log_windspeed_kph,scaled_log_pm2_5_lag1,scaled_log_pm2_5_lag12,scaled_log_pm2_5_lag24,scaled_log_pm10_lag1,scaled_log_pm10_lag12,scaled_log_pm10_lag24
08/09/2025 09:00,27.8,83.0,18.9,0.0,51.8,26.0,474.0,17.0,14.3,46.0,6.163314804034641,3.295836866004329,3.966511190712216,0.0,2.72785282839839,2.990719731730447,2.8903717578961645,-0.1872353945705702,-0.1010280349948138,0.7831490233847187,0.1352693828698863,0.4083502136474136,0.0,1.21269298032343,0.1184636693557828,0.4322963078227277,-0.0253105071803818,77,77.0,78.0,0.7071067811865476,-0.7071067811865475,73.0,9,0,0,2.581131422846642,0.0047390227987,-0.1466332164009945,-0.5848358666866215,1.3624623715095334,-0.1704668403029852,-0.4670002009402358,0.836381674584487,0.3889920484285201
08/09/2025 10:00,28.4,79.0,19.7,0.0,55.2,26.8,344.0,14.9,16.9,57.0,5.84354441703136,3.3250360206965914,4.028916756899646,0.0,2.884800712846709,3.030133700271324,2.766319109226186,0.5831045145197608,-0.9827272494950164,0.8994775041580838,0.4585919398777502,1.084154717860385,0.0,0.3996613199984546,-0.1315647677541175,1.074016620214219,0.5821416651487791,78,77.0,78.0,0.4999999999999999,-0.8660254037844387,73.0,10,0,0,2.990795101131897,0.3394494330383039,0.5244893933835455,0.1352693828698863,1.382974936388802,0.1883049280754392,0.4083502136474136,0.8685327476262841,0.836381674584487
08/09/2025 11:00,28.8,78.0,18.9,0.0,56.8,26.7,251.0,12.9,18.6,66.0,5.529429087511423,3.3214324131932926,4.056988775678332,0.0,2.975529566236472,2.990719731730447,2.631888840136646,1.0966644539133192,-1.203152053120067,0.7831490233847187,0.4186891548588384,1.3881531893430208,0.0,-0.3989920834216079,-0.4025093259000593,1.4449840170979422,1.079147987963547,78,78.0,77.0,0.258819045102521,-0.9659258262890682,74.0,11,0,0,2.6011765506306768,1.1834632389117006,0.8588516960629519,0.4585919398777502,1.382974936388802,0.527213277424591,1.084154717860385,0.8578362999952902,1.0473026697092602
08/09/2025 12:00,29.0,77.0,20.4,0.0,56.9,26.6,245.0,11.3,18.7,74.0,5.5053315359323625,3.317815772723105,4.05871738457895,0.0,2.9806186357439426,3.0633909220278057,2.509599262378372,1.3534444236100964,-1.4235768567451177,0.997634635370643,0.3786420556560249,1.406872700316635,0.0,-0.4602612727098881,-0.6489842889866834,1.465791938693034,1.5209313860211189,78,78.0,77.0,1.2246467991473532e-16,-1.0,74.0,12,0,0,3.3099679286475827,2.058496103103858,1.3502430340426888,0.4186891548588384,1.0026387340750058,0.5974587311157357,1.3881531893430208,0.1383840811907436,0.953373861875818
08/09/2025 13:00,29.1,76.0,22.2,0.0,55.8,26.2,275.0,9.9,17.9,80.0,5.62040086571715,3.3032169733019514,4.039536325727106,0.0,2.9391619220655967,3.144152278672264,2.388762789235098,1.4818344084584871,-1.6440016603701684,1.2359979941352466,0.2169893911238224,1.1991565179376784,0.0,-0.1676919415590093,-0.8925305159298966,1.2962858931295276,1.8522689345642973,78,78.0,76.0,-0.2588190451025208,-0.9659258262890684,74.0,13,0,0,4.082769553194712,2.7447558409561177,1.83154435649528,0.3786420556560249,0.4585919398777502,0.5036178921949455,1.406872700316635,-0.2251189201165998,0.9428390226155609
08/09/2025 14:00,29.3,76.0,23.6,0.0,58.1,27.8,301.0,9.9,17.0,81.0,5.71042701737487,3.3603753871419,4.079230924412053,0.0,2.8903717578961645,3.202746442938317,2.388762789235098,1.738614378155264,-1.6440016603701684,1.408935923595099,0.8499051283092975,1.6290186315774196,0.0,0.0612038991124197,-0.8925305159298966,1.096795218231326,1.9074918593214936,78,78.0,76.0,-0.4999999999999997,-0.8660254037844388,74.0,14,0,0,4.734553599709011,3.316392772830468,2.449596254661905,0.2169893911238224,-0.2401228670030247,0.2870650512092021,1.1991565179376784,-0.6012486276694249,0.6394837372903808
08/09/2025 15:00,29.0,76.0,23.1,0.0,56.6,27.4,301.0,11.8,16.1,73.0,5.71042701737487,3.3463891451671604,4.053522567701846,0.0,2.8390784635086144,3.1822118404966093,2.5494451709255714,1.3534444236100964,-1.6440016603701684,1.348329006967267,0.6950353190335536,1.3506168106806933,0.0,0.0612038991124197,-0.5686747563318494,0.8870698752382118,1.4657084612639222,79,78.0,75.0,-0.7071067811865471,-0.7071067811865479,75.0,15,0,0,4.512033553029279,1.9837549435357904,1.8248883756715863,0.8499051283092975,-0.6727173665504885,0.0115464095567935,1.6290186315774196,-0.78287526502273,0.3068720162008827
08/09/2025 16:00,28.7,78.0,22.7,0.0,50.5,23.7,297.0,15.1,15.0,59.0,5.697093486505405,3.2068032436339315,3.9415818076696905,0.0,2.772588722239781,3.1654750481410856,2.778819271990417,0.9682744690649284,-1.203152053120067,1.2989311488013702,-0.8506008845354183,0.1383840811907436,0.0,0.027302752597923,-0.1063706570836175,0.615210093962122,0.692587514663172,79,79.0,74.0,-0.8660254037844384,-0.5000000000000004,76.0,16,0,0,4.165416621233383,0.6706148080414813,1.2577218684575444,0.6950353190335536,-1.031388751215849,0.1633639775420874,1.3506168106806933,-0.967600160316165,0.5496919275924617
08/09/2025 17:00,28.7,81.0,19.9,0.0,48.7,24.9,311.0,19.4,12.4,49.0,5.7430031878094825,3.254242968705492,3.906004933102583,0.0,2.5952547069568657,3.039749158970765,3.0155349008501706,0.9682744690649284,-0.5418776422449151,0.9278570798226108,-0.3253002936264774,-0.246886232775481,0.0,0.1440303865295014,0.3707303105929774,-0.1098639653984066,0.1403582670912075,79,79.0,73.0,-0.9659258262890684,-0.2588190451025206,76.0,17,0,0,3.0194723779763413,0.1359053265466123,0.8984203213333734,-0.8506008845354183,-2.2335454620842152,0.1383210187472722,0.1383840811907436,-2.0183834242105427,0.353945677249969
08/09/2025 18:00,28.4,83.0,18.4,0.0,45.3,25.3,367.0,24.6,12.6,41.0,5.908082938168931,3.269568939183719,3.835141961092188,0.0,2.6100697927420065,2.9652730660692823,3.242592351485517,0.5831045145197608,-0.1010280349948138,0.7080443823983382,-0.1555956560822787,-1.0142779670754378,0.0,0.5637536285049942,0.8283651948552504,-0.0492888164464763,-0.3014251309663641,79,79.0,73.0,-1.0,-1.8369701987210287e-16,77.0,18,0,0,2.314999920253126,-0.175762354656197,0.4128638758568268,-0.3253002936264774,-2.0822035500122738,0.5974587311157357,-0.246886232775481,-1.6649504665288968,0.5947685020170834
