datetime,aqi_us_lag1,aqi_us_lag12,aqi_us_lag24,scaled_humidity_%,scaled_temp_C_scaled_log_windspeed_kph,day_of_week,scaled_temp_C,scaled_temp_C_scaled_o3,aqi_us,scaled_log_pm2_5_lag1,scaled_log_pm2_5_lag12,scaled_log_pm2_5_lag24,scaled_log_pm10_lag1,scaled_log_pm10_lag12,scaled_log_pm10_lag24,scaled_log_no2,scaled_log_so2
2025-04-02 13:00:00,114.0,84.0,132.0,-2.998598015,-1.309420434,2,2.21302646,2.332973238,131,-1.429070571,0.738734216,0.286880104,-1.582171403,-0.111482383,0.321526491,1.388329915,1.164268706
2025-04-02 14:00:00,131.0,85.0,134.0,-3.04908255,0.095748408,2,2.21302646,-0.096525206,131,-0.979768025,0.965569932,0.25475928,-1.299333196,0.001939951,0.114223101,2.03628371,0.814118502
2025-04-02 15:00:00,131.0,87.0,122.0,-2.672692292,1.096022556,2,1.582995659,-1.360011976,115,-0.422962833,1.554245896,0.211359007,-0.999433385,0.238850227,-0.101461744,2.36138873,0.516777108
2025-04-02 16:00:00,115.0,89.0,99.0,-2.542554379,0.843437617,2,1.582995659,-1.80688507,89,-0.149544384,2.482340137,0.054017359,-0.720138956,0.515820741,-0.225747315,2.395864047,0.356226654
2025-04-02 17:00:00,89.0,90.0,76.0,-2.622207757,0.710463942,2,1.267980258,-1.44731578,80,-0.039963519,1.363959528,0.019137625,-0.500834803,0.214083084,-0.302627503,2.286845229,0.251319971
2025-04-02 18:00:00,80.0,90.0,77.0,-2.007418304,0.223590639,2,0.322934057,-0.348349482,80,0.099867751,0.738734216,0.37080244,-0.291431798,0.075602717,-0.176340449,2.130275587,0.142597673
2025-04-02 19:00:00,80.0,90.0,78.0,-0.842908356,-0.204572769,2,-0.622112145,0.612533471,79,0.286880104,0.37080244,1.072542364,-0.101461744,-0.094813632,0.140460783,1.915794221,-0.063658842
2025-04-02 20:00:00,79.0,89.0,79.0,0.225680975,0.517680651,2,-1.189139865,1.021635434,79,0.391401534,-0.088145396,0.756840409,0.001939951,-0.340482222,-0.165935565,1.614249245,-0.310868514
2025-04-02 21:00:00,79.0,87.0,80.0,0.356940767,1.137555601,2,-1.252142945,0.957938868,79,0.27621344,-0.548703055,0.286880104,-0.094813632,-0.591418454,-0.344313963,1.341486344,-0.442587339
2025-04-02 22:00:00,79.0,86.0,81.0,0.856176728,2.933748352,2,-1.567158346,1.248093916,79,0.054017359,-0.849795094,0.111215721,-0.276616751,-0.744174799,-0.422799508,1.139282931,-0.469642127
2025-04-02 23:00:00,79.0,86.0,82.0,1.141694822,2.727507782,2,-1.693164506,1.560878527,79,-0.174480182,-0.930329168,0.122518569,-0.500834803,-0.823429638,-0.38310872,1.035059976,-0.362861715
2025-04-03 00:00:00,79.0,114.0,82.0,1.126549461,4.757024807,3,-1.882173746,1.676083935,78,-0.315679812,-1.013211501,0.25475928,-0.595853385,-0.880118083,-0.26192833,1.15934726,0.142597673
2025-04-03 01:00:00,78.0,131.0,84.0,1.11981819,4.113177239,3,-2.197189147,2.645781372,78,0.37080244,-1.429070571,0.738734216,0.045292677,-1.582171403,-0.111482383,1.776569192,0.706051301
2025-04-03 02:00:00,78.0,131.0,85.0,1.208446596,7.749480624,3,-2.386198387,3.771531799,78,0.599131895,-0.979768025,0.965569932,0.066565704,-1.299333196,0.001939951,2.348668305,1.347358588
2025-04-03 03:00:00,78.0,115.0,87.0,1.405897223,3.634799531,3,-2.827219948,4.2912349,77,1.282629432,-0.422962833,1.554245896,0.303202261,-0.999433385,0.238850227,2.560839856,1.799728301
2025-04-03 04:00:00,77.0,89.0,89.0,1.401409709,7.941717139,3,-3.142235348,1.812574312,76,1.827039142,-0.149544384,2.482340137,0.208530463,-0.720138956,0.515820741,2.309897234,2.090438175
2025-04-03 05:00:00,76.0,80.0,90.0,1.466478666,7.304778672,3,-2.890223028,-2.412286794,76,0.819319027,-0.039963519,1.363959528,-0.215039899,-0.500834803,0.214083084,1.668562707,2.291303284
2025-04-03 06:00:00,76.0,80.0,90.0,1.401409709,7.941717139,3,-3.142235348,-6.170785488,75,0.2655066,0.099867751,0.738734216,-0.578181921,-0.291431798,0.075602717,0.844930833,2.344784741
2025-04-03 07:00:00,75.0,79.0,90.0,1.396922195,4.44479511,3,-3.457250749,-8.741354153,75,-0.212298868,0.286880104,0.37080244,-0.880118083,-0.101461744,-0.094813632,0.223238403,2.192557414
2025-04-03 08:00:00,75.0,79.0,89.0,1.388508106,7.749480624,3,-2.386198387,-6.781752421,74,-0.710344989,0.391401534,-0.088145396,-1.145904846,0.001939951,-0.340482222,-0.255219296,1.887477729
2025-04-03 09:00:00,74.0,79.0,87.0,0.356940767,2.344033909,3,-1.252142945,-3.597957894,74,-0.996440581,0.27621344,-0.548703055,-1.299333196,-0.094813632,-0.591418454,-0.513197719,1.561497859
2025-04-03 10:00:00,74.0,79.0,86.0,-0.979777541,-0.004685371,3,0.007918656,0.020766759,74,-1.277425944,0.054017359,-0.849795094,-1.416944837,-0.276616751,-0.744174799,-0.531947592,1.241923298
2025-04-03 11:00:00,74.0,79.0,86.0,-1.519962069,-0.613662375,3,0.574946377,1.201226896,77,-1.37125171,-0.174480182,-0.930329168,-1.360594387,-0.500834803,-0.823429638,-0.223726153,0.901283094
2025-04-03 12:00:00,77.0,78.0,114.0,-1.855964698,-0.09956939,3,1.267980258,1.69465077,101,-1.222581877,-0.315679812,-1.013211501,-1.13979992,-0.595853385,-0.880118083,0.348495748,0.457576486
2025-04-03 13:00:00,101.0,78.0,131.0,-2.062390354,-0.09956939,3,1.267980258,0.978759657,114,-1.589262959,0.37080244,-1.429070571,-1.475205832,0.045292677,-1.582171403,1.04934946,0.335537757
2025-04-03 14:00:00,114.0,78.0,131.0,-1.75331281,0.054860208,3,1.267980258,-0.055305283,114,-1.186598324,0.599131895,-0.979768025,-1.272791591,0.066565704,-1.299333196,1.6926619,0.186562196
2025-04-03 15:00:00,114.0,77.0,115.0,-1.513791737,0.313368999,3,0.952964858,-0.609492237,100,-0.680263622,1.282629432,-0.422962833,-1.074039263,0.303202261,-0.999433385,2.055522914,0.075414313
2025-04-03 16:00:00,100.0,76.0,89.0,-1.380849127,0.507750229,3,0.952964858,-0.848619365,79,-0.342123376,1.827039142,-0.149544384,-0.982667059,0.208530463,-0.720138956,2.201734101,0.120370554
2025-04-03 17:00:00,79.0,76.0,80.0,-0.988752569,-0.030306091,3,0.385937137,-0.367889471,73,-0.199636653,0.819319027,-0.039963519,-1.022046011,-0.215039899,-0.500834803,2.249945385,0.22988953
2025-04-03 18:00:00,73.0,75.0,80.0,-0.979777541,0.005482659,3,0.007918656,-0.007299976,73,-0.187030589,0.2655066,0.099867751,-1.121614197,-0.578181921,-0.291431798,2.205225698,0.251319971
2025-04-03 19:00:00,73.0,75.0,79.0,-0.281969075,-0.084351363,3,-0.622112145,0.475940392,72,-0.174480182,-0.212298868,0.286880104,-1.214530596,-0.880118083,-0.101461744,2.001067337,0.052680107
